od_id,src_lat,src_lng,dst_lat,dst_lng,src_anchor,dst_anchor,scenario,status,error,distance_km,duration_min,overhead_pct,calc_time_sec,danger_zones_crossed,danger_exposure_m,entered_danger_zone,warning_zones_crossed,warning_exposure_m,entered_warning_zone
19,40.770936,-73.981674,40.705456,-74.001551,Lincoln Center,South Street Seaport,nypd,ok,,12.1,82.4,14.47,2.104,0,0.0,False,1,22.3,True
19,40.770936,-73.981674,40.705456,-74.001551,Lincoln Center,South Street Seaport,airbnb,ok,,10.6,82.1,0.28,4.265,1,856.5,True,0,0.0,False
20,40.725801,-74.002762,40.715845,-73.959853,SoHo,Williamsburg (Bedford),baseline,ok,,4.53,54.4,0.0,0.487,3,1081.0,True,4,244.6,True
20,40.725801,-74.002762,40.715845,-73.959853,SoHo,Williamsburg (Bedford),nypd,ok,,8.85,78.7,95.36,1.956,0,0.0,False,0,0.0,False
20,40.725801,-74.002762,40.715845,-73.959853,SoHo,Williamsburg (Bedford),airbnb,ok,,8.83,78.4,94.92,7.112,1,2.2,True,0,0.0,False
21,40.715528,-73.954462,40.724099,-74.001381,Williamsburg (Bedford),SoHo,baseline,ok,,4.8,57.6,0.0,0.961,3,1111.4,True,3,255.3,True
21,40.715528,-73.954462,40.724099,-74.001381,Williamsburg (Bedford),SoHo,nypd,ok,,9.01,80.6,87.71,2.641,1,416.7,True,2,54.4,True
21,40.715528,-73.954462,40.724099,-74.001381,Williamsburg (Bedford),SoHo,airbnb,ok,,9.01,80.6,87.71,5.303,2,490.6,True,0,0.0,False
22,40.757787,-73.982173,40.810129,-73.945923,Times Square,Harlem (125th St),baseline,ok,,7.25,87.0,0.0,0.582,4,1045.0,True,7,326.8,True
22,40.757787,-73.982173,40.810129,-73.945923,Times Square,Harlem (125th St),nypd,ok,,7.9,94.8,8.97,2.633,1,488.4,True,7,693.5,True
22,40.757787,-73.982173,40.810129,-73.945923,Times Square,Harlem (125th St),airbnb,ok,,7.83,94.0,8.0,4.333,4,779.3,True,1,0.0,True
23,40.751751,-73.978694,40.754809,-73.980919,Grand Central,Bryant Park,baseline,ok,,0.56,6.7,0.0,0.508,1,0.0,True,0,0.0,False
23,40.751751,-73.978694,40.754809,-73.980919,Grand Central,Bryant Park,nypd,ok,,0.56,6.7,0.0,0.985,1,255.3,True,0,0.0,False
23,40.751751,-73.978694,40.754809,-73.980919,Grand Central,Bryant Park,airbnb,ok,,0.56,6.7,0.0,1.927,1,255.3,True,0,0.0,False
24,40.744632,-74.007731,40.714694,-73.95909,Chelsea Market,Williamsburg (Bedford),baseline,ok,,6.91,83.0,0.0,0.584,4,1748.7,True,3,216.8,True
24,40.744632,-74.007731,40.714694,-73.95909,Chelsea Market,Williamsburg (Bedford),nypd,ok,,8.15,80.1,17.95,1.877,0,0.0,False,0,0.0,False
24,40.744632,-74.007731,40.714694,-73.95909,Chelsea Market,Williamsburg (Bedford),airbnb,ok,,8.11,79.5,17.37,3.998,2,150.9,True,0,0.0,False
25,40.702711,-73.989396,40.758937,-73.988819,DUMBO,Times Square,baseline,ok,,10.58,81.9,0.0,0.494,2,663.3,True,1,33.9,True
25,40.702711,-73.989396,40.758937,-73.988819,DUMBO,Times Square,nypd,ok,,11.92,74.3,12.67,1.813,0,0.0,False,3,390.3,True
25,40.702711,-73.989396,40.758937,-73.988819,DUMBO,Times Square,airbnb,ok,,10.59,82.0,0.09,4.365,2,675.1,True,0,0.0,False
26,40.729591,-73.998019,40.765914,-73.978595,Washington Square Park,Central Park South,baseline,ok,,4.59,55.1,0.0,0.482,3,1571.2,True,3,268.4,True
26,40.729591,-73.998019,40.765914,-73.978595,Washington Square Park,Central Park South,nypd,ok,,5.44,65.2,18.52,1.779,0,0.0,False,3,470.7,True
26,40.729591,-73.998019,40.765914,-73.978595,Washington Square Park,Central Park South,airbnb,ok,,4.9,58.8,6.75,3.454,4,1570.6,True,0,0.0,False
27,40.750036,-73.983446,40.715027,-73.957857,Empire State Building,Williamsburg (Bedford),baseline,ok,,5.35,46.5,0.0,0.509,0,0.0,False,0,0.0,False
27,40.750036,-73.983446,40.715027,-73.957857,Empire State Building,Williamsburg (Bedford),nypd,ok,,5.35,46.5,0.0,1.384,0,0.0,False,0,0.0,False
27,40.750036,-73.983446,40.715027,-73.957857,Empire State Building,Williamsburg (Bedford),airbnb,ok,,5.35,46.5,0.0,3.169,0,0.0,False,0,0.0,False
28,40.721064,-74.001453,40.694794,-73.996301,SoHo,Brooklyn Heights Prom.,baseline,ok,,4.07,48.8,0.0,0.481,1,214.0,True,1,84.7,True
28,40.721064,-74.001453,40.694794,-73.996301,SoHo,Brooklyn Heights Prom.,nypd,ok,,4.15,49.8,1.97,1.298,0,0.0,False,0,0.0,False
28,40.721064,-74.001453,40.694794,-73.996301,SoHo,Brooklyn Heights Prom.,airbnb,ok,,4.07,48.9,0.0,3.314,1,73.9,True,0,0.0,False
29,40.808842,-73.946717,40.777814,-73.966079,Harlem (125th St),The Met (Museum Mile),baseline,ok,,4.49,53.9,0.0,0.519,2,948.4,True,3,103.7,True
29,40.808842,-73.946717,40.777814,-73.966079,Harlem (125th St),The Met (Museum Mile),nypd,ok,,4.54,54.5,1.11,1.455,1,325.2,True,6,268.7,True
29,40.808842,-73.946717,40.777814,-73.966079,Harlem (125th St),The Met (Museum Mile),airbnb,ok,,5.47,65.7,21.83,2.715,2,1250.1,True,0,0.0,False
30,40.706124,-73.994505,40.696678,-73.995781,Brooklyn Bridge (Mnh),Brooklyn Heights Prom.,baseline,ok,,1.26,12.9,0.0,0.514,0,0.0,False,0,0.0,False
30,40.706124,-73.994505,40.696678,-73.995781,Brooklyn Bridge (Mnh),Brooklyn Heights Prom.,nypd,ok,,1.26,12.9,0.0,1.029,0,0.0,False,0,0.0,False
30,40.706124,-73.994505,40.696678,-73.995781,Brooklyn Bridge (Mnh),Brooklyn Heights Prom.,airbnb,ok,,1.26,12.9,0.0,2.015,0,0.0,False,0,0.0,False
31,40.718871,-73.956976,40.73292,-73.996215,Williamsburg (Bedford),Washington Square Park,baseline,ok,,5.54,66.4,0.0,0.513,1,151.3,True,5,183.8,True
31,40.718871,-73.956976,40.73292,-73.996215,Williamsburg (Bedford),Washington Square Park,nypd,ok,,7.22,73.2,30.32,1.687,0,0.0,False,0,0.0,False
31,40.718871,-73.956976,40.73292,-73.996215,Williamsburg (Bedford),Washington Square Park,airbnb,ok,,7.21,73.0,30.14,4.118,1,650.8,True,0,0.0,False
32,40.750662,-73.984276,40.765357,-73.97912,Empire State Building,Central Park South,baseline,ok,,2.03,24.4,0.0,0.498,1,1078.6,True,2,146.3,True
32,40.750662,-73.984276,40.765357,-73.97912,Empire State Building,Central Park South,nypd,ok,,2.39,28.7,17.73,1.192,0,0.0,False,0,0.0,False
32,40.750662,-73.984276,40.765357,-73.97912,Empire State Building,Central Park South,airbnb,ok,,2.21,26.5,8.87,2.52,2,234.2,True,0,0.0,False
33,40.740904,-74.008511,40.714788,-73.95664,High Line (Whitney),Williamsburg (Bedford),baseline,ok,,6.72,80.6,0.0,0.578,4,1662.6,True,3,224.2,True
33,40.740904,-74.008511,40.714788,-73.95664,High Line (Whitney),Williamsburg (Bedford),nypd,ok,,8.51,84.4,26.64,1.931,0,0.0,False,0,0.0,False
33,40.740904,-74.008511,40.714788,-73.95664,High Line (Whitney),Williamsburg (Bedford),airbnb,ok,,8.4,83.0,25.0,4.378,3,130.4,True,0,0.0,False
34,40.704267,-73.98941,40.705926,-74.001019,DUMBO,South Street Seaport,baseline,ok,,3.19,38.2,0.0,0.501,1,181.8,True,0,0.0,False
34,40.704267,-73.98941,40.705926,-74.001019,DUMBO,South Street Seaport,nypd,ok,,3.21,38.5,0.63,1.155,0,0.0,False,0,0.0,False
34,40.704267,-73.98941,40.705926,-74.001019,DUMBO,South Street Seaport,airbnb,ok,,3.19,38.2,0.0,2.711,1,181.8,True,0,0.0,False
35,40.705741,-73.997582,40.811317,-73.947133,Brooklyn Bridge (Mnh),Harlem (125th St),baseline,ok,,15.22,107.2,0.0,0.594,2,2092.7,True,9,446.8,True
35,40.705741,-73.997582,40.811317,-73.947133,Brooklyn Bridge (Mnh),Harlem (125th St),nypd,ok,,15.45,110.0,1.51,1.868,0,0.0,False,5,205.1,True
35,40.705741,-73.997582,40.811317,-73.947133,Brooklyn Bridge (Mnh),Harlem (125th St),airbnb,ok,,15.68,112.8,3.02,4.474,2,883.6,True,0,0.0,False
36,40.81117,-73.946175,40.717948,-73.997653,Harlem (125th St),Little Italy,baseline,ok,,11.84,142.1,0.0,0.539,6,2602.4,True,5,379.0,True
36,40.81117,-73.946175,40.717948,-73.997653,Harlem (125th St),Little Italy,nypd,ok,,12.84,154.1,8.45,3.208,0,0.0,False,7,329.2,True
36,40.81117,-73.946175,40.717948,-73.997653,Harlem (125th St),Little Italy,airbnb,ok,,12.31,147.7,3.97,6.7,6,2523.2,True,0,0.0,False
37,40.757574,-73.978344,40.709749,-74.000579,Rockefeller Center,South Street Seaport,baseline,ok,,5.9,70.7,0.0,0.544,4,1446.1,True,2,189.0,True
37,40.757574,-73.978344,40.709749,-74.000579,Rockefeller Center,South Street Seaport,nypd,error,no route found,,,,1.97,,,,,,
37,40.757574,-73.978344,40.709749,-74.000579,Rockefeller Center,South Street Seaport,airbnb,ok,,6.0,72.0,1.69,4.072,3,1063.5,True,0,0.0,False
38,40.717408,-73.957104,40.755124,-73.977831,Williamsburg (Bedford),Grand Central,baseline,ok,,5.75,51.2,0.0,0.53,1,346.4,True,0,0.0,False
38,40.717408,-73.957104,40.755124,-73.977831,Williamsburg (Bedford),Grand Central,nypd,ok,,5.76,51.4,0.17,1.464,0,0.0,False,0,0.0,False
38,40.717408,-73.957104,40.755124,-73.977831,Williamsburg (Bedford),Grand Central,airbnb,ok,,5.75,51.2,0.0,3.486,1,346.4,True,0,0.0,False
39,40.729089,-73.997034,40.744356,-74.008008,Washington Square Park,Chelsea Market,baseline,ok,,2.29,27.5,0.0,0.545,2,819.0,True,1,14.8,True
39,40.729089,-73.997034,40.744356,-74.008008,Washington Square Park,Chelsea Market,nypd,ok,,2.52,30.2,10.04,1.169,0,0.0,False,0,0.0,False
39,40.729089,-73.997034,40.744356,-74.008008,Washington Square Park,Chelsea Market,airbnb,ok,,2.32,27.8,1.31,2.349,2,473.0,True,0,0.0,False
40,40.742203,-74.005995,40.70387,-74.02,Chelsea Market,Battery Park,baseline,ok,,4.97,51.8,0.0,0.487,1,189.3,True,0,0.0,False
40,40.742203,-74.005995,40.70387,-74.02,Chelsea Market,Battery Park,nypd,ok,,5.07,53.0,2.01,1.431,0,0.0,False,0,0.0,False
40,40.742203,-74.005995,40.70387,-74.02,Chelsea Market,Battery Park,airbnb,ok,,4.97,51.8,0.0,3.048,1,189.3,True,0,0.0,False
41,40.715524,-73.999954,40.706242,-74.004784,Chinatown,South Street Seaport,baseline,ok,,1.36,16.3,0.0,0.479,0,0.0,False,1,87.8,True
41,40.715524,-73.999954,40.706242,-74.004784,Chinatown,South Street Seaport,nypd,ok,,1.36,16.3,0.0,1.131,0,0.0,False,1,87.8,True
41,40.715524,-73.999954,40.706242,-74.004784,Chinatown,South Street Seaport,airbnb,ok,,1.39,16.6,2.21,2.572,0,0.0,False,0,0.0,False
42,40.703537,-73.988778,40.758642,-73.979559,DUMBO,Rockefeller Center,baseline,ok,,9.93,72.8,0.0,0.567,2,475.1,True,0,0.0,False
42,40.703537,-73.988778,40.758642,-73.979559,DUMBO,Rockefeller Center,nypd,ok,,9.93,72.9,0.0,1.966,1,128.7,True,0,0.0,False
42,40.703537,-73.988778,40.758642,-73.979559,DUMBO,Rockefeller Center,airbnb,ok,,9.93,72.8,0.0,5.449,2,475.1,True,0,0.0,False
43,40.767439,-73.976981,40.810932,-73.949396,Central Park South,Harlem (125th St),baseline,ok,,5.77,69.3,0.0,0.489,1,266.2,True,2,108.4,True
43,40.767439,-73.976981,40.810932,-73.949396,Central Park South,Harlem (125th St),nypd,ok,,5.99,71.9,3.81,1.866,0,0.0,False,4,24.9,True
43,40.767439,-73.976981,40.810932,-73.949396,Central Park South,Harlem (125th St),airbnb,ok,,6.25,75.0,8.32,3.834,1,478.5,True,0,0.0,False
44,40.695356,-73.995942,40.744566,-74.004726,Brooklyn Heights Prom.,Chelsea Market,baseline,ok,,6.81,81.7,0.0,0.56,2,747.1,True,0,0.0,False
44,40.695356,-73.995942,40.744566,-74.004726,Brooklyn Heights Prom.,Chelsea Market,nypd,ok,,7.09,85.1,4.11,1.625,0,0.0,False,0,0.0,False
