latitude,longitude
40.82908,-73.94687
40.71435,-73.90936
40.75668,-73.99339
40.75675,-73.9937
40.78741,-73.94298
40.67701,-73.97118
40.70362,-73.82057
40.66942,-73.87604
40.66106,-73.92277
40.67002,-73.87826
40.66981,-73.87756
40.7238,-73.99038
40.828,-73.90573
40.75687,-73.99378
40.66293,-73.88369
40.82491,-73.94555
40.83227,-73.91983
40.85306,-73.86644
40.81062,-73.93882
40.814148,-73.943657
40.71418,-73.99243
40.66169,-73.95277
40.67197,-73.94006
40.71983,-73.94079
40.82319,-73.90341
40.68712,-73.92283
40.6914,-73.90543
40.69248,-73.79669
40.68795,-73.91661
40.70741,-73.8086
40.8161154,-73.8643384
40.79599,-73.94583
40.68595,-73.93095
40.80885,-73.94821
40.80746,-73.94768
40.71806,-74.00095
40.71937,-74.0028
40.71852,-74.00081
40.75657,-73.83338
40.68085,-73.94861
40.67308,-73.92508
40.86639,-73.90151
40.6844,-73.95924
40.68684,-73.95112
40.68491,-73.79561
40.80988,-73.94403
40.7966,-73.93824
40.64163,-73.96001
40.68745,-73.9417
40.74656,-73.88558
40.69115,-73.94256
40.64937,-73.93525
40.666,-73.7716
40.64669,-73.94813
40.82339,-73.91425
40.80227,-73.93573
40.68573,-73.92294
40.79405,-73.93602
40.80945,-73.92007
40.78802,-73.94954
40.64815,-73.95108
40.8022,-73.93767
40.80643,-73.94931
40.68746,-73.91945
40.80389,-73.94945
40.81061,-73.94505
40.73118,-74.00316
40.68942,-73.93897
40.68584,-73.91186
40.72244,-73.94308
40.68047,-73.95022
40.78133,-73.9473
40.67685,-73.91672
40.81322,-73.95122
40.81587,-73.90052
40.79263,-73.94518
40.80552,-73.95421
40.85376,-73.89975
40.80804,-73.95798
40.812,-73.92178
40.74635,-73.9872
40.8820132,-73.8495215
40.80503,-73.95853
40.6587916,-73.96050389999999
40.67327,-73.90949
40.82132,-73.94611
40.66759,-73.93599
40.7578,-73.92748
40.83541,-73.92266
40.80243,-73.9373
40.66381,-73.9804
40.69493,-73.94314
40.69866,-73.94548
40.74873,-73.99556
40.86677,-73.84056
40.67269,-73.93905
40.70689,-73.93855
40.70125,-73.92877
40.69396,-73.9446
40.79847,-73.94833
40.68654,-73.92413
40.70840625032512,-73.92137992219641
40.67046,-73.95618
40.80999,-73.91997
40.66958,-73.77127
40.689484,-73.870471
40.80002,-73.94409
40.67683,-73.9842
40.74252120196174,-73.91739574603271
40.74868,-73.88013
40.68458,-73.76196
40.65815,-73.95127
40.6832989,-73.894235
40.81014,-73.94595
40.705546596465055,-73.93667701631784
40.66485,-73.93022
40.68077,-73.78823
40.68454,-73.8686
40.8088,-73.9361
40.88151,-73.8494
40.68242,-73.74555
40.7548,-73.99408
40.82598,-73.81935
40.82254,-73.93926
40.6852,-73.92873
40.69691,-73.81586
40.80964,-73.93802
40.75692,-73.99039
40.67357,-73.9645
40.65808,-73.98125
40.66923,-73.88367
40.67195,-73.90983
40.59509,-73.79508
40.67784,-73.90456
40.68298,-73.91946
40.67852,-73.94788
40.70329,-73.89344
40.79235,-73.94378
40.75639,-73.83486
40.65956,-73.89786
40.75755,-73.98573
40.82458,-73.94963
40.75613,-73.98573
40.7373,-73.89628
40.69509,-73.96605
40.74718,-73.9847
40.7564,-73.99828
40.75176,-73.93589
40.8353,-73.94369
40.69068,-73.92664
40.72105,-73.94616
40.69076,-73.90409
40.68447,-73.92474
40.81897,-73.94004
40.79441,-73.93929
40.68987,-73.95308
40.67677,-73.91006
40.75923,-73.95378
40.66351622611748,-73.76941141390496
40.80214,-73.94301
40.79566,-73.94167
40.87749,-73.864
40.79567,-73.942
40.62613,-74.07805
40.68482,-73.91961
40.80717,-73.95065
40.81645,-73.93778
40.69017,-73.93754
40.67381,-73.93207
