listing_id,comments_processed,longitude,latitude,is_unsafe
635484369090867609,"All good, just one mattress was to soft and the bed boards made a lot of noises . excellent airbnb in general . the neighborhood is not the best , and the house in the side is kind of creepy . far from manhattan and close to airport . if you are planning arrive in subway have in mind your gonna walk 7 or 4 street with your luggage and try to arrive early , on the night is scary ...",-73.878418,40.674915,0
635617204486061688,"We had a fabulous Thanksgiving stay at this luxuriously-outfitted apartment. The best of everything - super comfy beds, nicely-appointed kitchen and lots of high tech amenities. The location is just a few blocks from several quick trains into Manhattan and fabulous restaurants and shops of Park Slope are just a short stroll to the corner.   We had everything we needed and more. Easy to access. Curtis and Rob were super responsive, but never intrusive. Great stay!",-73.98059,40.68069,0
638943669371529428,"Great stress-free stay. Clear and prompt communication from the host, easy to find the place, and clean. Thank you!",-73.97904,40.74853,0
638965000463155963,"This place is big and clean. Sergio lives here in the other room, so the place has more of a home feel than a hotel. Although he lived there, the bathroom, kitchen, and living room were kept clean.  The location is fantastic! We took the 7 train back from Manhattan late each night and never felt unsafe walking home.  We found an amazing pizza place next to the train station called Sunnyside Pizza. All the sell is pizza, with several options sold by the slice, but it is absolutely fantastic! We also really liked   The Brother’s Cafe, just a block away from the Airbnb, is also a great place to grab breakfast, coffee, and a couple bottles of water for the day. The place has been there for almost 20 years and is still run by the 4 brothers who started it. We sat at the counter to eat and chatted with them every morning.  We would stay here again.",-73.92406812676047,40.74768482711784,0
634868907150900897,Apartment very well located.  Cheking at the top.  Excellent communication and great understanding and kindness in holding our luggage until our flight.  I recommend.,-73.94435,40.66305,0
634873109612876378,The host is good but the room lacked ventilation (fan/AC) and the neighbour next door was very creepy.,-73.92738,40.76754,0
9788114,"This is a gem of a place to stay, location is safe, quiet and private. All stores and trains close by. Never once did I feel unsafe in the area or coming in or out of the apt. Eric is an amazing host, explains everything very detailed, he’s personable and very detailed with the amenities.",-73.92911,40.81965,0
9856995,i loved staying here! miho was always responsive and all of her instructions made for an easy check in. this is such a steal of a spot for the price-was easy to hop on the G train from the apartment and explore brooklyn!,-73.95325,40.69028,0
9863045,"We stayed in this apartment with our 2 children aged 13 and 10 and we found all the necessary comfort there. We were very well received and our host showed us around the area as soon as we arrived (small supermarket, seller of very good pizzas, metro...) so everything was very simple for our stay. The apartment is functional, everything you need to prepare small meals, in short it was a very good stay. The metro is a 10-minute walk away, either 116 or 125 street, and you are quite quickly central in NY by line 6. The neighborhood is... surprising, initially a little impressive in its diversity but by no means poorly frequented. We regularly returned after 9 p.m. from the metro and never had any bad encounters. Certainly it's not the most chic neighborhood but no feeling of insecurity really!  A big thank you to fooad for his flexibility for our departure time, it was very appreciable. And thank you for contributing to this very good stay in New York with your availability, your visit to the neighborhood, your answers to our questions and your availability.",-73.934341,40.798645,0
9750139,"READ BEFORE BOOKING!!!!!!!!!!!!!!!!!!!!!!!!!!!  Hello, I am so livid, and dont know who else can help me get some justice. These people need to be called out in a major way!!!!    I was a resident of 702 44th St, BK, the site of the huge 6 alarm fire in Sunset Park on Wed April 4. My family and I are safe, but we lost everything. I have a 5 month old baby, and we evacuated the building with nothing but the clothes on our backs.   I had my first day back from Maternity Leave on April 4, the day of the fire, and my mother is visiting to help with childcare, we booked this for her. After evacuating, my mother, newborn and I raced barefoot back to the AirBnB, while my husband stayed in the park with our 12 year old dog, Tilly. Tilly had a procedure at the vet Tues night and is currently wearing a cone, and on pain med. Upon frantically arriving to the AirBnB, we greeted our host, who was watching news coverage of the fire. We explained that it was my building and now my family, including my my baby and injured dog had nowhere to go. I told her my dog was potty trained, very old and quite, and she stated ""Of Course. Anything you need. I am so sorry this is happening.""  The following day, Thursday, my mom, baby and I were taking the dog on a walk when our host, Haydee, came out of our unit. She immediately yelled, ""What is a dog doing here?"" I reminded her of the fire and her saying its was ok. She said this conversation never took place and we all needed to leave immediately. I pleaded with her that my family, had no where to go, no transportation, and none of our belongings. She stated ""This is not my problems. People have allergies and we cannot have a dog here.""   I obviously became very upset, starting to have a panic attack. Our hosts daughter, Annette, then called me and said she was on the phone with AirBnB telling them we were breaking their rules and that we had to leave immediately.   Never in my life have I been treated so cruel. This fire is, by far, the most traumatic thing that has ever happened to me or my young family. My son is only 5 months old! My dog is old and sick!  Everything we have is gone, and this woman literally kicked us out on the street.   Not sure how you can use this story, but I feel like it needs to be told. Just righting a review about this does not seem to suffice the trauma it caused me.   Cant imagine anyone doing business with such cruel people.",-74.01344,40.64276,0
