id,name,lat,lng,radius_km,polygon
150ee7b9-0e80-45ef-8ab8-0a3952a394af,Review Warning Zone 13,40.63031,-74.08091,0.05,"[[40.629895, -74.081137], [40.629937, -74.081239], [40.629992, -74.081329], [40.63006, -74.081403], [40.630138, -74.081458], [40.630222, -74.081491], [40.63031, -74.081503], [40.630398, -74.081491], [40.630482, -74.081458], [40.63056, -74.081403], [40.630628, -74.081329], [40.630683, -74.081239], [40.630725, -74.081137], [40.630751, -74.081026], [40.630759, -74.08091], [40.630751, -74.080794], [40.630725, -74.080683], [40.630683, -74.080581], [40.630628, -74.080491], [40.63056, -74.080417], [40.630482, -74.080362], [40.630398, -74.080329], [40.63031, -74.080317], [40.630222, -74.080329], [40.630138, -74.080362], [40.63006, -74.080417], [40.629992, -74.080491], [40.629937, -74.080581], [40.629895, -74.080683], [40.629869, -74.080794], [40.629861, -74.08091], [40.629869, -74.081026]]"
33ba0597-6e43-4189-97ed-942e3f60b046,Review Warning Zone 14,40.63339,-74.0182,0.05,"[[40.633017, -74.018529], [40.633072, -74.018619], [40.63314, -74.018693], [40.633218, -74.018748], [40.633302, -74.018781], [40.63339, -74.018793], [40.633478, -74.018781], [40.633562, -74.018748], [40.63364, -74.018693], [40.633708, -74.018619], [40.633763, -74.018529], [40.633805, -74.018427], [40.633831, -74.018316], [40.633839, -74.0182], [40.633831, -74.018084], [40.633805, -74.017973], [40.633763, -74.017871], [40.633708, -74.017781], [40.63364, -74.017707], [40.633562, -74.017652], [40.633478, -74.017619], [40.63339, -74.017607], [40.633302, -74.017619], [40.633218, -74.017652], [40.63314, -74.017707], [40.633072, -74.017781], [40.633017, -74.017871], [40.632975, -74.017973], [40.632949, -74.018084], [40.632941, -74.0182], [40.632949, -74.018316], [40.632975, -74.018427]]"
6b5408d3-2d4a-4405-a352-46b7008b0cef,Review Warning Zone 15,40.63398,-74.07871,0.05,"[[40.633607, -74.079039], [40.633662, -74.079129], [40.63373, -74.079203], [40.633808, -74.079258], [40.633892, -74.079291], [40.63398, -74.079303], [40.634068, -74.079291], [40.634152, -74.079258], [40.63423, -74.079203], [40.634298, -74.079129], [40.634353, -74.079039], [40.634395, -74.078937], [40.634421, -74.078826], [40.634429, -74.07871], [40.634421, -74.078594], [40.634395, -74.078483], [40.634353, -74.078381], [40.634298, -74.078291], [40.63423, -74.078217], [40.634152, -74.078162], [40.634068, -74.078129], [40.63398, -74.078117], [40.633892, -74.078129], [40.633808, -74.078162], [40.63373, -74.078217], [40.633662, -74.078291], [40.633607, -74.078381], [40.633565, -74.078483], [40.633539, -74.078594], [40.633531, -74.07871], [40.633539, -74.078826], [40.633565, -74.078937]]"
a48bdbcb-8ad6-4dbe-a16f-0eba483e913f,Review Warning Zone 16,40.63597,-74.00936,0.05,"[[40.635555, -74.009587], [40.635597, -74.009689], [40.635652, -74.009779], [40.63572, -74.009853], [40.635798, -74.009908], [40.635882, -74.009941], [40.63597, -74.009953], [40.636058, -74.009941], [40.636142, -74.009908], [40.63622, -74.009853], [40.636288, -74.009779], [40.636343, -74.009689], [40.636385, -74.009587], [40.636411, -74.009476], [40.636419, -74.00936], [40.636411, -74.009244], [40.636385, -74.009133], [40.636343, -74.009031], [40.636288, -74.008941], [40.63622, -74.008867], [40.636142, -74.008812], [40.636058, -74.008779], [40.63597, -74.008767], [40.635882, -74.008779], [40.635798, -74.008812], [40.63572, -74.008867], [40.635652, -74.008941], [40.635597, -74.009031], [40.635555, -74.009133], [40.635529, -74.009244], [40.635521, -74.00936], [40.635529, -74.009476]]"
0a71feae-581f-4979-b87e-a49aacc31452,Review Warning Zone 17,40.63652,-74.07553,0.05,"[[40.636105, -74.075757], [40.636147, -74.075859], [40.636202, -74.075949], [40.63627, -74.076023], [40.636348, -74.076078], [40.636432, -74.076111], [40.63652, -74.076123], [40.636608, -74.076111], [40.636692, -74.076078], [40.63677, -74.076023], [40.636838, -74.075949], [40.636893, -74.075859], [40.636935, -74.075757], [40.636961, -74.075646], [40.636969, -74.07553], [40.636961, -74.075414], [40.636935, -74.075303], [40.636893, -74.075201], [40.636838, -74.075111], [40.63677, -74.075037], [40.636692, -74.074982], [40.636608, -74.074949], [40.63652, -74.074937], [40.636432, -74.074949], [40.636348, -74.074982], [40.63627, -74.075037], [40.636202, -74.075111], [40.636147, -74.075201], [40.636105, -74.075303], [40.636079, -74.075414], [40.636071, -74.07553], [40.636079, -74.075646]]"
fcb59085-d0aa-4933-885a-69b436b7ee2e,Review Warning Zone 18,40.63698,-74.026,0.05,"[[40.636565, -74.026227], [40.636607, -74.026329], [40.636662, -74.026419], [40.63673, -74.026493], [40.636808, -74.026548], [40.636892, -74.026581], [40.63698, -74.026593], [40.637068, -74.026581], [40.637152, -74.026548], [40.63723, -74.026493], [40.637298, -74.026419], [40.637353, -74.026329], [40.637395, -74.026227], [40.637421, -74.026116], [40.637429, -74.026], [40.637421, -74.025884], [40.637395, -74.025773], [40.637353, -74.025671], [40.637298, -74.025581], [40.63723, -74.025507], [40.637152, -74.025452], [40.637068, -74.025419], [40.63698, -74.025407], [40.636892, -74.025419], [40.636808, -74.025452], [40.63673, -74.025507], [40.636662, -74.025581], [40.636607, -74.025671], [40.636565, -74.025773], [40.636539, -74.025884], [40.636531, -74.026], [40.636539, -74.026116]]"
1a047390-e56a-4a16-8a7a-ba3a897c8c49,Review Warning Zone 19,40.640037,-74.08865,0.099,"[[40.639291, -74.089288], [40.639346, -74.089378], [40.639414, -74.089452], [40.639492, -74.089507], [40.639576, -74.08954], [40.639664, -74.089552], [40.639752, -74.08954], [40.639836, -74.089507], [40.639914, -74.089452], [40.639982, -74.089378], [40.640037, -74.089288], [40.640079, -74.089186], [40.640105, -74.089075], [40.640113, -74.088959], [40.640105, -74.088843], [40.640081, -74.088741], [40.640092, -74.088759], [40.64016, -74.088833], [40.640238, -74.088888], [40.640322, -74.088921], [40.64041, -74.088933], [40.640498, -74.088921], [40.640582, -74.088888], [40.64066, -74.088833], [40.640728, -74.088759], [40.640783, -74.088669], [40.640825, -74.088567], [40.640851, -74.088456], [40.640859, -74.08834], [40.640851, -74.088224], [40.640825, -74.088113], [40.640783, -74.088011], [40.640728, -74.087921], [40.64066, -74.087847], [40.640582, -74.087792], [40.640498, -74.087759], [40.64041, -74.087747], [40.640322, -74.087759], [40.640238, -74.087792], [40.64016, -74.087847], [40.640092, -74.087921], [40.640037, -74.088011], [40.639995, -74.088113], [40.639969, -74.088224], [40.639961, -74.08834], [40.639969, -74.088456], [40.639993, -74.088558], [40.639982, -74.08854], [40.639914, -74.088466], [40.639836, -74.088411], [40.639752, -74.088378], [40.639664, -74.088366], [40.639576, -74.088378], [40.639492, -74.088411], [40.639414, -74.088466], [40.639346, -74.08854], [40.639291, -74.08863], [40.639249, -74.088732], [40.639223, -74.088843], [40.639215, -74.088959], [40.639223, -74.089075], [40.639249, -74.089186]]"
3e1253ac-9d6c-4688-b6c1-178fd100594b,Review Warning Zone 20,40.64096,-74.08665,0.05,"[[40.640545, -74.086877], [40.640587, -74.086979], [40.640642, -74.087069], [40.64071, -74.087143], [40.640788, -74.087198], [40.640872, -74.087231], [40.64096, -74.087243], [40.641048, -74.087231], [40.641132, -74.087198], [40.64121, -74.087143], [40.641278, -74.087069], [40.641333, -74.086979], [40.641375, -74.086877], [40.641401, -74.086766], [40.641409, -74.08665], [40.641401, -74.086534], [40.641375, -74.086423], [40.641333, -74.086321], [40.641278, -74.086231], [40.64121, -74.086157], [40.641132, -74.086102], [40.641048, -74.086069], [40.64096, -74.086057], [40.640872, -74.086069], [40.640788, -74.086102], [40.64071, -74.086157], [40.640642, -74.086231], [40.640587, -74.086321], [40.640545, -74.086423], [40.640519, -74.086534], [40.640511, -74.08665], [40.640519, -74.086766]]"
f69c1a23-2ef8-4100-b14f-e35bc94b2750,Review Warning Zone 21,40.64396,-73.99293,0.05,"[[40.643545, -73.993157], [40.643587, -73.993259], [40.643642, -73.993349], [40.64371, -73.993423], [40.643788, -73.993478], [40.643872, -73.993511], [40.64396, -73.993523], [40.644048, -73.993511], [40.644132, -73.993478], [40.64421, -73.993423], [40.644278, -73.993349], [40.644333, -73.993259], [40.644375, -73.993157], [40.644401, -73.993046], [40.644409, -73.99293], [40.644401, -73.992814], [40.644375, -73.992703], [40.644333, -73.992601], [40.644278, -73.992511], [40.64421, -73.992437], [40.644132, -73.992382], [40.644048, -73.992349], [40.64396, -73.992337], [40.643872, -73.992349], [40.643788, -73.992382], [40.64371, -73.992437], [40.643642, -73.992511], [40.643587, -73.992601], [40.643545, -73.992703], [40.643519, -73.992814], [40.643511, -73.99293], [40.643519, -73.993046]]"
99adbbb2-9fe0-4805-99e9-057f7244728f,Review Warning Zone 22,40.64402,-73.99751,0.05,"[[40.643605, -73.997737], [40.643647, -73.997839], [40.643702, -73.997929], [40.64377, -73.998003], [40.643848, -73.998058], [40.643932, -73.998091], [40.64402, -73.998103], [40.644108, -73.998091], [40.644192, -73.998058], [40.64427, -73.998003], [40.644338, -73.997929], [40.644393, -73.997839], [40.644435, -73.997737], [40.644461, -73.997626], [40.644469, -73.99751], [40.644461, -73.997394], [40.644435, -73.997283], [40.644393, -73.997181], [40.644338, -73.997091], [40.64427, -73.997017], [40.644192, -73.996962], [40.644108, -73.996929], [40.64402, -73.996917], [40.643932, -73.996929], [40.643848, -73.996962], [40.64377, -73.997017], [40.643702, -73.997091], [40.643647, -73.997181], [40.643605, -73.997283], [40.643579, -73.997394], [40.643571, -73.99751], [40.643579, -73.997626]]"
