date,year,hour,lat,lon,precinct,borough,offense_desc,law_category,premise_type
2023-02-01,2023.0,12.0,40.739292,-73.997295,13,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,RESIDENCE - APT. HOUSE
2023-05-11,2023.0,8.0,40.64684,-73.89773,69,BROOKLYN,HARRASSMENT 2,VIOLATION,RESIDENCE - APT. HOUSE
2023-12-09,2023.0,12.0,40.767199,-73.931426,114,QUEENS,PETIT LARCENY,MISDEMEANOR,RESIDENCE-HOUSE
2023-12-24,2023.0,9.0,40.66372476,-73.75925576,116,QUEENS,PETIT LARCENY,MISDEMEANOR,RESIDENCE-HOUSE
2019-07-21,2019.0,0.0,40.763393,-73.814293,109,QUEENS,HARRASSMENT 2,VIOLATION,CHAIN STORE
2022-10-01,2022.0,7.0,40.672138,-73.911218,73,BROOKLYN,THEFT-FRAUD,FELONY,RESIDENCE - PUBLIC HOUSING
2023-12-10,2023.0,18.0,40.67882919,-73.88815613,75,BROOKLYN,PETIT LARCENY,MISDEMEANOR,STREET
2022-09-14,2022.0,8.0,40.83872163,-73.91377061,44,BRONX,GRAND LARCENY,FELONY,MAILBOX OUTSIDE
2023-10-30,2023.0,18.0,40.642585,-74.018226,72,BROOKLYN,DANGEROUS DRUGS,FELONY,RESIDENCE-HOUSE
2022-01-14,2022.0,0.0,40.66524878,-73.78894843,113,QUEENS,FORGERY,FELONY,AIRPORT TERMINAL
2023-09-16,2023.0,13.0,40.76231580042,-73.82744800186,109,QUEENS,SEX CRIMES,FELONY,OTHER
2023-08-16,2023.0,6.0,40.63781047,-74.08727768,120,STATEN ISLAND,MISCELLANEOUS PENAL LAW,FELONY,OTHER
2022-12-08,2022.0,19.0,40.85121316769,-73.93521605199,34,MANHATTAN,SEX CRIMES,MISDEMEANOR,HOSPITAL
2018-01-03,2018.0,0.0,40.66524878,-73.78894843,113,QUEENS,THEFT-FRAUD,FELONY,AIRPORT TERMINAL
2022-11-04,2022.0,12.0,40.64389,-74.009802,72,BROOKLYN,GRAND LARCENY,FELONY,RESIDENCE-HOUSE
2023-05-01,2023.0,15.0,40.649198,-73.945044,67,BROOKLYN,GRAND LARCENY,FELONY,RESIDENCE-HOUSE
2022-03-01,2022.0,0.0,40.71305568,-74.00722513,1,MANHATTAN,MISCELLANEOUS PENAL LAW,FELONY,(NULL)
2018-08-01,2018.0,0.0,40.817208,-73.944178,32,MANHATTAN,PETIT LARCENY,MISDEMEANOR,RESIDENCE - APT. HOUSE
2022-06-27,2022.0,0.0,40.71305568,-74.00722513,1,MANHATTAN,MISCELLANEOUS PENAL LAW,FELONY,(NULL)
2022-05-22,2022.0,0.0,40.639198,-74.011094,72,BROOKLYN,THEFT-FRAUD,FELONY,RESIDENCE-HOUSE
2019-10-20,2019.0,0.0,40.69932415739,-73.83157088767,102,QUEENS,RAPE,FELONY,RESIDENCE-HOUSE
2023-12-26,2023.0,0.0,40.71305568,-74.00722513,1,MANHATTAN,MISCELLANEOUS PENAL LAW,FELONY,PUBLIC BUILDING
2019-01-01,2019.0,0.0,40.63886517059,-74.02271208766,68,BROOKLYN,SEX CRIMES,MISDEMEANOR,RESIDENCE - APT. HOUSE
2022-01-01,2022.0,0.0,40.78946329956,-73.94763400394,23,MANHATTAN,SEX CRIMES,MISDEMEANOR,RESIDENCE - APT. HOUSE
2023-02-11,2023.0,3.0,40.57428568819,-74.10591440512,122,STATEN ISLAND,RAPE,FELONY,RESIDENCE-HOUSE
2023-08-13,2023.0,15.0,40.67998073847,-73.7762339072,113,QUEENS,RAPE,FELONY,RESIDENCE-HOUSE
