latitude,longitude,crime_count
40.54926,-74.141133,2
40.549323,-74.19479,1
40.54937333,-74.15265529,2
40.549389,-74.152242,6
40.54942896,-74.16017953,1
40.549446,-74.170733,2
40.54947927,-74.14932348,2
40.549514,-74.176468,2
40.549539,-74.150735,2
40.54958,-74.151234,1
40.5495929861,-74.13739164476,1
40.549637,-74.222327,1
40.549742,-74.163572,1
40.549801,-74.200558,1
40.54996312,-74.15083947,2
40.550013,-74.136732,1
40.550145,-74.17089,4
40.55014780386,-74.18757205673,1
40.550156,-74.162325,1
40.55021,-74.152467,1
40.55021805266,-74.15723435735,1
40.55025242,-74.22131435,1
40.550329,-74.140489,3
40.550393,-74.150555,3
40.550483,-74.19396,1
40.550535,-74.21066,3
40.55057398,-74.16757337,1
40.550762,-74.193164,1
40.550768,-74.144391,2
40.550809,-74.213283,1
40.550844,-74.135316,1
40.55086263,-74.15144243,5
40.550874,-74.19956,1
40.550913,-74.192,2
40.550937,-74.17635,1
40.551,-74.149888,2
40.55101804853,-74.16984509309,1
40.551031,-74.150265,1
40.55106992,-74.13947816,1
40.55112086,-74.21349424,1
40.55114,-74.198793,1
40.55114211,-74.14971942,1
40.551144,-74.180952,1
40.55129223,-74.15037107,5
40.55136113,-74.14589478,1
40.55136113716,-74.14589478139,1
40.551365,-74.182984,1
40.551392,-74.220089,1
40.5514,-74.136,1
40.5514555097,-74.18515757446,2
40.551495,-74.197707,1
40.551546,-74.211851,3
40.551568,-74.171207,1
40.551579,-74.182239,1
40.55160106,-74.19014543,1
40.55161917,-74.21853727,1
40.551623,-74.1505,8
40.55164613,-74.15050861,1
40.551651,-74.148559,2
40.55171886,-74.15155593,1
40.55172597,-74.17000162,1
40.551877,-74.192079,1
40.551883,-74.165948,2
40.55195064,-74.15063524,2
40.55195803,-74.21201075,1
40.55198092,-74.15672032,1
40.552008,-74.165012,1
40.552009,-74.173478,1
40.552019,-74.144198,1
40.55208065,-74.14559767,1
40.552237,-74.212125,1
40.552278,-74.150775,1
40.552334,-74.134521,1
40.552415,-74.181207,1
40.552555,-74.217452,3
40.552564,-74.153959,1
