date,year,hour,lat,lon,precinct,borough,offense_desc,law_category,premise_type
2023-12-15,2023,0.0,40.679019,-73.890994,75,BROOKLYN,HARRASSMENT 2,VIOLATION,STREET
2023-08-28,2023,19.0,40.763313,-73.973717,18,MANHATTAN,HARRASSMENT 2,VIOLATION,DEPARTMENT STORE
2022-10-25,2022,20.0,40.75027,-73.862912,115,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,GROCERY/BODEGA
2022-01-01,2022,7.0,40.770891,-73.924208,114,QUEENS,GRAND LARCENY,FELONY,STREET
2023-09-27,2023,9.0,40.733701,-74.004419,6,MANHATTAN,HARRASSMENT 2,VIOLATION,RESTAURANT/DINER
2023-10-22,2023,14.0,40.74291039953,-73.99280410305,13,MANHATTAN,HARRASSMENT 2,VIOLATION,STREET
2023-05-19,2023,9.0,40.61913,-73.917218,63,BROOKLYN,GRAND LARCENY,FELONY,SMALL MERCHANT
2022-10-16,2022,18.0,40.811529,-73.940633,32,MANHATTAN,GRAND LARCENY,FELONY,STREET
2023-10-21,2023,17.0,40.678608,-73.960401,77,BROOKLYN,FELONY ASSAULT,FELONY,STREET
2023-10-31,2023,14.0,40.760378,-73.915094,114,QUEENS,GRAND LARCENY,FELONY,BAR/NIGHT CLUB
2022-10-26,2022,10.0,40.72655,-73.851867,112,QUEENS,GRAND LARCENY,FELONY,RESTAURANT/DINER
2023-10-13,2023,18.0,40.8352983293,-73.91290051411,44,BRONX,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2022-01-26,2022,7.0,40.775884,-73.902357,114,QUEENS,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,BAR/NIGHT CLUB
2023-06-20,2023,0.0,40.74530384455,-73.890184618,110,QUEENS,ROBBERY,FELONY,STREET
2023-07-15,2023,0.0,40.896424,-73.855704,47,BRONX,FELONY ASSAULT,FELONY,BAR/NIGHT CLUB
2022-06-28,2022,23.0,40.716337,-74.001251,5,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,PUBLIC BUILDING
2023-10-05,2023,22.0,40.74828972632,-73.98817669912,14,MANHATTAN,ROBBERY,FELONY,TRANSIT - NYC SUBWAY
2023-06-30,2023,23.0,40.67998073847,-73.7762339072,113,QUEENS,RAPE,FELONY,STREET
2023-06-02,2023,14.0,40.67135982034,-73.88181102317,75,BROOKLYN,SEX CRIMES,MISDEMEANOR,STREET
2022-09-27,2022,7.0,40.615372,-74.034364,68,BROOKLYN,GRAND LARCENY,FELONY,STORE UNCLASSIFIED
2023-05-05,2023,22.0,40.6984738177,-73.91776898122,83,BROOKLYN,RAPE,FELONY,STREET
