latitude,longitude,crime_count
40.66050603,-73.83058619,29
40.660675,-73.768016,20
40.660703,-73.961845,39
40.660808,-73.915282,22
40.660842,-73.885356,24
40.660861,-73.920518,21
40.660884,-73.892375,17
40.660894,-73.895225,18
40.660962,-73.931366,32
40.661085,-73.908054,19
40.661353,-73.879259,24
40.66157413,-73.9154774,39
40.661648,-73.915002,19
40.661686,-73.840497,31
40.661934,-73.921029,42
40.661961,-73.950767,56
40.662204,-73.886375,24
40.66223179,-73.93996494,19
40.662315,-73.938653,19
40.662337,-73.904977,21
40.66239,-73.961909,30
40.662442,-73.981979,16
40.662486,-73.935904,23
40.6625545,-73.9089197,77
40.662665,-73.933012,16
40.662677,-73.888299,18
40.66274,-73.950852,26
40.662761,-73.907529,32
40.662804,-73.943518,22
40.66296,-73.880438,18
40.663047,-73.923639,20
40.663064,-73.925781,16
40.66308945,-73.96238749,80
40.66312629,-73.95089285,46
40.663216,-73.949445,18
40.663326,-73.909113,53
40.663332,-73.960177,42
40.663358,-73.84091,24
40.663374,-73.886664,28
40.663515,-73.950934,20
40.6635556,-73.93160855,27
40.663561,-73.922839,19
40.663578,-73.924986,21
40.663579,-73.921353,20
40.66380731,-73.90041498,28
40.66395,-73.931573,20
40.66404851,-73.88810882,28
40.66412128263,-73.94776484038,87
40.664154,-73.946814,27
40.6642,-73.88775,16
40.66437684,-73.92374984,16
40.664419,-73.932923,17
40.66443,-73.901644,32
40.66457,-73.935691,28
40.664638,-73.734781,31
40.664665,-73.923314,64
40.664676,-73.894529,26
40.6647513,-73.89404073,55
40.664788,-73.931497,27
40.6648,-73.92221,24
40.664819,-73.888303,18
40.664984,-73.884624,16
40.665018,-73.957111,33
40.665032,-73.953738,27
40.665118,-73.958987,17
40.66522734,-73.92318295,48
40.665287,-73.922751,18
40.665306,-73.93284,18
40.665501,-73.756326,21
40.665503,-73.7849,34
40.66550803,-73.99276919,30
40.665524,-73.894241,23
40.665566,-73.784014,29
40.66559146,-73.88849913,32
40.66562652,-73.9096977,16
40.66568,-73.931418,24
40.665835,-73.913669,18
40.66591778,-73.92546388,32
40.665969,-73.902034,17
40.666074,-73.930421,16
40.666149,-73.924927,16
40.66618177,-73.88315248,21
40.666325,-73.882829,21
40.6663767,-73.883199,43
40.666412,-73.756572,18
